Street,Event,Datetime
Commonwealth Ave,Crash,2010-05-28 14:00:00
Boylston St,Crash,2010-05-29 02:17:00
Meridian St,Crash,2010-05-29 13:00:00
Hyde Park Ave,Crash,2010-05-29 16:12:00
Ceylon St,Crash,2010-05-29 19:05:00
Clarendon St,Crash,2010-05-30 14:19:00
Brinsley St,Crash,2010-05-30 15:24:00
Commonwealth Ave,Crash,2010-05-30 19:10:00
Beacon St,Crash,2010-05-30 19:15:00
Newbury St,Crash,2010-05-30 21:46:00
Colburn St,Crash,2010-06-01 17:21:00
Washington St,Crash,2010-06-02 08:55:00
Newbury St,Crash,2010-06-02 10:07:00
Warren St,Crash,2010-06-02 16:42:00
Commonwealth Ave,Crash,2010-06-03 09:37:00
Huntington Ave,Crash,2010-06-04 16:14:00
Sumner St,Crash,2010-06-04 16:36:00
Beecher St,Crash,2010-06-06 02:11:00
Alford St,Crash,2010-06-07 10:30:00
Balfour St,Crash,2010-06-07 13:16:00
Massachusetts Ave,Crash,2010-06-07 16:20:00
Blue Hill Ave,Crash,2010-06-07 18:22:00
Gallivan Blvd,Crash,2010-06-07 19:06:00
Cambridge St,Crash,2010-06-09 17:31:00
St Germain St,Crash,2010-06-09 17:16:00
Washington St,Crash,2010-06-10 17:39:00
Stuart St,Crash,2010-06-11 14:59:00
Trinity Pl,Crash,2010-06-11 15:11:00
Washington St,Crash,2010-06-11 18:06:00
Commonwealth Ave,Crash,2010-06-14 09:36:00
Columbus Ave,Crash,2010-06-14 09:53:00
Cambridge St,Crash,2010-06-14 17:17:00
Beacon St,Crash,2010-06-15 08:07:00
Fairmount Ave,Crash,2010-06-15 19:39:00
Boylston St,Crash,2010-06-16 11:09:00
Clearway St,Crash,2010-06-16 22:06:00
Commonwealth Ave,Crash,2010-06-16 22:40:00
Wait St,Crash,2010-06-17 07:45:00
Massachusetts Ave,Crash,2010-06-17 15:55:00
Huntington Ave,Crash,2010-05-27 09:49:00
Massachusetts Ave,Crash,2010-06-17 17:19:00
Columbus Ave,Crash,2010-06-17 18:04:00
Commonwealth Ave,Crash,2010-06-17 18:27:00
Columbus Ave,Crash,2010-06-18 06:49:00
Washington St,Crash,2010-06-18 08:05:00
South St,Crash,2010-06-19 01:03:00
Appleton St,Crash,2010-06-19 09:54:00
Stanwood St,Crash,2010-06-19 14:14:00
Rockvale Cir,Crash,2010-06-19 18:06:00
Western Ave,Crash,2010-06-20 02:58:00
Prentiss St,Crash,2010-06-20 13:42:00
