routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
14f6ab80e83e4f1146eeede2ed176079,2012-09-03 13:35:53.197000,Running,42.36253,-71.08708,1899.883241867895,53
9f3a41c0c06e8a233c80e065f14589c3,2012-09-03 13:37:24.303000,Running,42.36083,-71.07128,6594.310427605349,378
7a0e12bcec3c91c1d0f6ed00720ab7a5,2012-09-03 16:44:21.209000,Running,42.373097,-71.084215,989.9010189790172,86
4a59588b9707ffaa31ea03557d1f4b50,2012-09-04 01:32:51.432000,Running,42.36119,-71.07001,14622.397438448375,497
e8bad07f258bd88f157d0420dfe70601,2012-09-04 12:59:26.089000,Running,42.350668,-71.132616,3950.8462132678133,24
6eda917258be3c41acec155441d7d4a5,2012-09-04 13:26:51.862000,Running,42.36,-71.08762,5720.905683690597,205
179bdb4a98f5f8abb12fc2c755f3d470,2012-09-04 14:06:58.063000,Cycling,42.336768,-71.151766,5268.450549895313,396
f66a40551406287cb93bbef47c69176c,2012-09-04 15:07:11.676000,Running,42.34182,-71.1476,4978.570298687882,214
7db62860c28ea3e06346b06626e1b279,2012-09-04 15:08:37.636000,Running,42.34146,-71.14737,10052.309181264669,343
57c8173dc7190732c1fe14cfb3daa4df,2012-09-04 15:13:16.829000,Running,42.3415,-71.14633,10083.741738713676,495
41e6d7a0593d6ec8d0a7a2ee2e39009e,2012-09-04 15:14:52.666000,Running,42.34156,-71.14714,7114.153691122283,300
a501af6fda033a3a551ae2f2184d9459,2012-09-04 15:31:22.990000,Running,42.36318,-71.05158,8598.86696148158,431
2230d31a57ff57f1535576db2b699fb1,2012-09-04 20:21:20.367000,Running,42.35878,-71.062888,8877.01925610438,496
6710ebff7a8aa516fa579dc7b85c02b0,2012-09-04 23:09:57.364000,Running,42.36091,-71.08538,5433.220641767362,187
49c6b8541f66b177fb7e5a0e55d00a77,2012-09-04 23:54:53.213000,Running,42.390525,-71.134113,7531.802115517686,248
39ce2c9394d96f907702a3a5e03848cd,2012-09-05 15:16:29.671000,Running,42.35674,-71.05558,3842.646434659826,207
ecd305c24fb79ed3383935b2adc34039,2012-09-05 15:23:04.517000,Running,42.35523,-71.05401,4747.036245801921,216
a8da5f946e3f8fa6d4068542fb464240,2012-09-05 18:36:29.277000,Running,42.33268,-71.10059,3120.510548051696,127
1235f85dd342bccf843c972ae0ffe13e,2012-09-05 21:02:15.016000,Running,42.35712,-71.11327,7684.728441754551,356
41da24bd8b318ee9c58af0fd282e91b6,2012-09-06 12:51:07.297000,Running,42.306912,-71.093486,4804.512938901776,426
